#Id Score P-value
51574 0.106702 0.0069231
6596 0.106613 0.0069231
3200 0.10642 0.0069231
435 0.106271 0.0069231
339231 0.106077 0.0069231
80823 0.10575 0.0069231
223 0.105718 0.0069231
2033 0.105696 0.0069231
9168 0.105681 0.0069231
58497 0.105674 0.0069231
5216 0.105628 0.0069231
800 0.105621 0.0069231
25934 0.105576 0.0069231
3001 0.105572 0.0069231
7167 0.105515 0.0069231
57092 0.10548 0.0069231
390637 0.105442 0.0069231
55229 0.105379 0.0069231
10380 0.105318 0.0069231
6733 0.105303 0.0069231
84811 0.10523 0.0069231
4361 0.105114 0.0069231
9368 0.104962 0.0069231
113655 0.104898 0.0069231
1021 0.104886 0.0069231
100128588 0.104881 0.0069231
51601 0.104745 0.0069231
1072 0.104738 0.0069231
57062 0.104727 0.0069231
9275 0.104711 0.0069231
10327 0.104612 0.0069231
11054 0.104427 0.0069231
7408 0.104361 0.0069231
50484 0.104322 0.0069231
81888 0.104273 0.0069231
4223 0.104272 0.0069231
79132 0.104249 0.0069231
3939 0.104244 0.0069231
10513 0.104229 0.0069231
197131 0.104179 0.0069231
7086 0.104114 0.0069231
10591 0.104074 0.0069231
2597 0.103968 0.0069231
2053 0.103825 0.0069231
11252 0.1038 0.0069231
2870 0.103789 0.0069231
25975 0.103751 0.0069231
3945 0.103706 0.0069231
1428 0.103682 0.0069231
729 0.103619 0.0069231
23154 0.103542 0.0069231
6286 0.103532 0.0069231
4000 0.103506 0.0069231
7430 0.103493 0.0069231
26015 0.103443 0.0069231
80351 0.103432 0.0069231
54469 0.1034 0.0069231
8358 0.103304 0.0069231
8350 0.103304 0.0069231
8351 0.103304 0.0069231
8352 0.103304 0.0069231
8353 0.103304 0.0069231
8354 0.103304 0.0069231
8355 0.103304 0.0069231
8356 0.103304 0.0069231
8357 0.103304 0.0069231
8968 0.103304 0.0069231
9324 0.103293 0.0069231
115098 0.103152 0.0069231
308 0.103103 0.0069231
95 0.1031 0.0069231
29914 0.103072 0.0069231
9686 0.102981 0.0069231
5337 0.102972 0.0069231
79413 0.102939 0.0069231
9961 0.102883 0.0069231
4208 0.102879 0.0069231
27232 0.102842 0.0069231
445 0.102836 0.0069231
4205 0.102819 0.0069231
5315 0.102644 0.0069231
9588 0.102614 0.0069231
2289 0.102407 0.0069231
7179 0.102404 0.0069231
3162 0.102376 0.0069231
8270 0.102297 0.0069231
1956 0.102244 0.0069231
5496 0.102189 0.0069231
28988 0.102176 0.0069231
6708 0.102119 0.0069231
3315 0.10203 0.0069231
146956 0.102023 0.0069231
8659 0.101976 0.0069231
7111 0.101955 0.0069231
3094 0.101945 0.0069231
3336 0.101942 0.0069231
207 0.101918 0.0069231
11098 0.101916 0.0069231
5757 0.101907 0.0069231
8682 0.101815 0.0069231
339230 0.101807 0.0069231
339344 0.101685 0.0069231
7514 0.101666 0.0069231
5925 0.101642 0.0069231
7862 0.101613 0.0069231
27350 0.101531 0.0069231
3775 0.101522 0.0069231
11140 0.101486 0.0069231
79633 0.10144 0.0069231
9322 0.101403 0.0069231
4168 0.101354 0.0069231
672 0.101345 0.0069231
11112 0.101208 0.0069231
51131 0.101183 0.0069231
1457 0.101069 0.0069231
1460 0.101038 0.0069231
261726 0.101037 0.0069231
3948 0.101002 0.0069231
216 0.10098 0.0069231
5153 0.100941 0.0069231
22949 0.100938 0.0069231
2547 0.100902 0.0069231
5184 0.100886 0.0069231
6358 0.10084 0.0069231
2026 0.100785 0.0069231
26100 0.100769 0.0069231
57030 0.100757 0.0069231
6604 0.100707 0.0069231
134829 0.100687 0.0069231
328 0.100643 0.0069231
6603 0.100619 0.0069231
57492 0.100608 0.0069231
6652 0.100604 0.0069231
7371 0.100576 0.0069231
10524 0.100564 0.0069231
27190 0.100555 0.0069231
6483 0.100555 0.0069231
23429 0.100539 0.0069231
5048 0.100463 0.0069231
10606 0.100452 0.0069231
1809 0.100445 0.0069231
29086 0.100435 0.0069231
132789 0.100371 0.0069231
7156 0.100232 0.0069231
6301 0.100215 0.0069231
407 0.100214 0.0069231
10397 0.10021 0.0069231
6623 0.10021 0.0069231
8289 0.100206 0.0069231
6271 0.100182 0.0069231
23028 0.100177 0.0069231
654364 0.100167 0.0069231
4831 0.100167 0.0069231
6602 0.10016 0.0069231
2576 0.100067 0.0069231
2577 0.100067 0.0069231
2543 0.100067 0.0069231
11332 0.099967 0.0142476
191 0.099902 0.0142476
10273 0.099843 0.0142476
29763 0.099842 0.0142476
10785 0.099801 0.0142476
6647 0.099759 0.0142476
11344 0.099756 0.0142476
472 0.09964 0.0142476
8996 0.099637 0.0142476
1915 0.099633 0.0142476
18 0.099604 0.0142476
8566 0.09954 0.0142476
28970 0.099526 0.0142476
7316 0.099515 0.0142476
1975 0.099513 0.0142476
8754 0.099458 0.0142476
4926 0.099356 0.0142476
1398 0.099337 0.0142476
6233 0.099316 0.0142476
51268 0.099264 0.0142476
29993 0.099259 0.0142476
5888 0.099257 0.0142476
29101 0.099247 0.0142476
7280 0.099213 0.0142476
3326 0.099211 0.0142476
6611 0.099184 0.0142476
817 0.099163 0.0142476
3190 0.09911 0.0142476
7341 0.099094 0.0142476
4193 0.099057 0.0142476
1025 0.09897 0.0142476
160418 0.098964 0.0142476
5268 0.09892 0.0142476
27229 0.098908 0.0142476
5111 0.098842 0.0142476
114548 0.098829 0.0142476
5499 0.098818 0.0142476
2801 0.098815 0.0142476
271 0.098741 0.0142476
6597 0.098727 0.0142476
10768 0.098724 0.0142476
55291 0.098653 0.0142476
52 0.098653 0.0142476
2029 0.098603 0.0142476
10963 0.098587 0.0142476
3927 0.09858 0.0142476
3845 0.098574 0.0142476
5050 0.098565 0.0142476
2353 0.09856 0.0142476
155435 0.09856 0.0142476
128989 0.098539 0.0142476
90416 0.098531 0.0142476
51105 0.09853 0.0142476
5214 0.098511 0.0142476
2023 0.098509 0.0142476
5093 0.098497 0.0142476
55008 0.098477 0.0142476
6904 0.098472 0.0142476
5052 0.098468 0.0142476
27236 0.098463 0.0142476
2067 0.098429 0.0142476
5300 0.098422 0.0142476
28955 0.098382 0.0142476
226 0.09837 0.0142476
11034 0.098342 0.0142476
4653 0.098339 0.0142476
3024 0.09831 0.0142476
54869 0.098297 0.0142476
60 0.098292 0.0142476
10212 0.098291 0.0142476
2271 0.098281 0.0142476
5049 0.098248 0.0142476
9948 0.09822 0.0142476
2821 0.098178 0.0142476
60491 0.098146 0.0142476
4436 0.098082 0.0142476
39 0.098059 0.0142476
3822 0.098057 0.0142476
124808 0.098039 0.0142476
4478 0.098034 0.0142476
11244 0.097968 0.0142476
6697 0.097962 0.0142476
1152 0.097951 0.0142476
1387 0.097934 0.0142476
84708 0.09793 0.0142476
51119 0.097892 0.0142476
3313 0.097858 0.0142476
3476 0.097844 0.0142476
23411 0.097827 0.0142476
1198 0.09781 0.0142476
5594 0.097805 0.0142476
56159 0.097733 0.0142476
92241 0.097532 0.0142476
978 0.09752 0.0142476
5894 0.097513 0.0142476
7791 0.097511 0.0142476
54974 0.09749 0.0142476
55183 0.097486 0.0142476
7186 0.097402 0.0142476
7531 0.09737 0.0142476
1017 0.097335 0.0142476
7874 0.097335 0.0142476
6418 0.097318 0.0142476
23406 0.097303 0.0142476
8379 0.097294 0.0142476
11217 0.097286 0.0142476
125488 0.097275 0.0142476
11163 0.097264 0.0142476
10131 0.097264 0.0142476
6595 0.097256 0.0142476
57455 0.097245 0.0142476
